class_id,class_name
480,Scissor-tailed Flycatcher
481,Loggerhead Shrike
482,Northern Shrike
483,White-eyed Vireo
484,Bell's Vireo
485,Yellow-throated Vireo
486,Plumbeous Vireo
487,Cassin's Vireo
488,Blue-headed Vireo
489,Hutton's Vireo
490,Warbling Vireo
491,Red-eyed Vireo
492,Gray Jay
493,Steller's Jay
494,Blue Jay
495,Florida Scrub-Jay
496,Western Scrub-Jay
497,Mexican Jay
498,Clark's Nutcracker
499,Black-billed Magpie
500,Yellow-billed Magpie
501,American Crow
502,Yellow-rumped Warbler (Breeding Audubon's)
503,Purple Martin (Female/juvenile)
504,American Robin (Juvenile)
505,Phainopepla (Male)
506,Snow Bunting (Nonbreeding)
507,Common Yellowthroat (Female/immature male)
508,American Redstart (Female/juvenile)
509,Magnolia Warbler (Female/immature male)
510,"Bay-breasted Warbler (Female, Nonbreeding male, Immature)"
511,Chestnut-sided Warbler (Female/immature male)
512,Blackpoll Warbler (Female/juvenile)
513,Black-throated Blue Warbler (Female/Immature male)
514,Lark Bunting (Female/Nonbreeding male)
515,White-throated Sparrow (Tan-striped/immature)
516,Harris's Sparrow (Immature)
517,White-crowned Sparrow (Immature)
518,Golden-crowned Sparrow (Immature)
519,Dark-eyed Junco (White-winged)
520,Chipping Sparrow (Immature/nonbreeding adult)
521,Scarlet Tanager (Female/Nonbreeding Male)
522,Western Tanager (Female/Nonbreeding Male)
523,Northern Cardinal (Female/Juvenile)
524,Rose-breasted Grosbeak (Female/immature male)
525,Black-headed Grosbeak (Female/immature male)
526,Blue Grosbeak (Female/juvenile)
527,Lazuli Bunting (Female/juvenile)
528,Indigo Bunting (Female/juvenile)
529,Painted Bunting (Female/juvenile)
530,Bobolink (Female/juvenile/nonbreeding male)
531,Red-winged Blackbird (Female/juvenile)
532,Yellow-headed Blackbird (Female/Immature Male)
533,Brewer's Blackbird (Male)
534,Brown-headed Cowbird (Female/Juvenile)
535,Hooded Oriole (Female/Immature male)
536,Bullock's Oriole (Female/Immature male)
537,Baltimore Oriole (Female/Immature male)
538,Pine Grosbeak (Female/juvenile)
539,Purple Finch (Female/immature)
540,Cassin's Finch (Female/immature)
541,House Finch (Female/immature)
542,Red Crossbill (Female/juvenile)
543,White-winged Crossbill (Female/juvenile)
544,Lesser Goldfinch (Female/juvenile)
545,American Goldfinch (Female/Nonbreeding Male)
546,Evening Grosbeak (Female/Juvenile)
547,House Sparrow (Female/Juvenile)
548,"Vermilion Flycatcher (Female, immature)"
549,European Starling (Juvenile)
550,Fox Sparrow (Thick-billed/Slate-colored)
551,Summer Tanager (Immature Male)
552,Orchard Oriole (Female/Juvenile)
553,Yellow-rumped Warbler (Winter/juvenile Audubon's)
554,Dark-eyed Junco (Red-backed/Gray-headed)
